1,C,A,False
2,C,C,True
3,B,A,False
4,B,C,False
5,D,C,False
7,C,E,False
8,B,C,False
9,B,D,False
10,A,A,True
11,B,D,False
12,D,B,False
13,C,C,True
14,E,E,True
15,A,A,True
16,E,C,False
18,B,A,False
19,C,C,True
20,E,C,False
21,C,A,False
22,D,C,False
24,B,D,False
25,C,C,True
26,E,C,False
27,A,D,False
28,A,B,False
30,C,D,False
31,D,E,False
32,E,C,False
33,A,C,False
34,B,B,True
35,C,B,False
36,B,B,True
37,B,A,False
38,A,A,True
39,C,C,True
41,E,D,False
42,E,A,False
43,B,A,False
44,C,E,False
45,D,D,True
46,C,B,False
47,E,C,False
48,A,A,True
49,E,C,False
50,C,B,False
52,B,A,False
53,A,C,False
54,D,D,True
55,E,B,False
56,B,C,False
57,D,D,True
58,B,A,False
59,A,B,False
60,D,C,False
61,D,C,False
63,B,C,False
64,C,E,False
65,C,A,False
66,B,D,False
67,C,D,False
68,A,E,False
69,C,B,False
70,B,C,False
71,A,B,False
72,D,C,False
74,A,B,False
75,B,B,True
76,E,A,False
77,D,B,False
78,A,A,True
80,B,D,False
81,A,B,False
82,A,C,False
83,A,C,False
84,C,A,False
85,B,D,False
86,C,D,False
87,D,D,True
88,E,B,False
89,E,C,False
91,D,D,True
92,B,C,False
93,C,D,False
94,B,B,True
95,D,C,False
96,D,E,False
97,A,D,False
98,A,A,True
99,A,D,False
100,B,C,False
102,C,A,False
103,D,B,False
104,C,C,True
105,D,A,False
106,A,C,False
108,E,B,False
109,D,C,False
110,A,C,False
111,C,C,True
112,A,E,False
114,B,C,False
115,A,A,True
116,E,E,True
117,D,C,False
118,C,A,False
121,A,A,True
122,B,A,False
123,B,C,False
124,A,D,False
125,D,D,True
126,A,A,True
127,E,E,True
128,D,C,False
129,C,C,True
130,E,C,False
131,A,D,False
132,C,A,False
133,A,B,False
134,B,B,True
135,D,A,False
137,D,D,True
138,D,D,True
139,D,C,False
140,E,A,False
141,C,A,False
143,A,A,True
144,C,D,False
145,A,D,False
146,B,E,False
147,B,B,True
